,Feature Name,m/z,Retention Time
0,114.85_104.1068m/z,104.1067689,1.91416669
1,627.14_161.1316m/z,161.1315882,10.4524002
2,348.44_165.0904m/z,165.0903764,5.8072834
3,380.52_184.0731m/z,184.0731198,6.34203339
4,312.33_184.0728m/z,184.0727992,5.20557499
5,357.25_184.0731m/z,184.0730674,5.95423317
6,114.79_184.0727m/z,184.0727307,1.91314995
7,509.57_184.0729m/z,184.0729354,8.49288368
8,483.6_184.073m/z,184.072959,8.06001663
9,325.84_184.0727m/z,184.0726821,5.4306252
10,439.04_184.0731m/z,184.07311,7.3173666
11,399.23_184.0733m/z,184.0733163,6.65376663
12,347.25_184.0731m/z,184.0731012,5.787541625
13,472.17_184.0732m/z,184.0731979,7.869475125
14,347.3_185.0758m/z,185.0757663,5.788308385
15,472.23_185.0758m/z,185.0757762,7.870525125
16,627.06_243.21m/z,243.2099632,10.45095015
17,646.76_243.2098m/z,243.2098412,10.7792997
18,141.89_255.21m/z,255.2099546,2.364758255
19,627.11_257.2255m/z,257.2254737,10.4518337
20,627.15_259.2409m/z,259.2409305,10.4525166
21,641.19_263.2364m/z,263.2363764,10.6864829
22,656.73_265.2521m/z,265.2521158,10.9454336
23,141.83_269.2261m/z,269.2260883,2.36391664
24,495.82_269.2254m/z,269.2254144,8.263608455
25,141.81_270.2292m/z,270.2291585,2.363524915
26,279.74_279.2312m/z,279.231197,4.66235018
27,141.89_286.2286m/z,286.2286485,2.364758255
28,73.24_287.1388m/z,287.1387856,1.22063339
29,141.83_287.2337m/z,287.2336547,2.36389995
30,636.53_287.2361m/z,287.2361122,10.60885855
31,627.14_287.2723m/z,287.272288,10.4522829
32,73.24_288.1416m/z,288.1415628,1.22066665
33,73.23_299.1391m/z,299.1391109,1.22054994
34,73.24_300.1424m/z,300.1424191,1.2206167
35,594.65_301.1405m/z,301.1405124,9.91090012
36,73.25_301.1497m/z,301.1496806,1.220841645
37,48.25_312.1586m/z,312.1586267,0.804183304
38,641.0_313.2727m/z,313.2727407,10.6833
39,656.33_313.2729m/z,313.2728621,10.9388499
40,108.11_313.2728m/z,313.2727585,1.801908315
41,468.94_313.2731m/z,313.2730644,7.81573343
42,475.48_339.2887m/z,339.2887267,7.92469978
43,657.05_339.2885m/z,339.2885359,10.9509001
44,641.51_339.2884m/z,339.2883525,10.69189165
45,345.25_341.3041m/z,341.3041476,5.754133225
46,54.2_344.2792m/z,344.2791588,0.903366685
47,54.2_345.282m/z,345.2820192,0.903400004
48,190.48_351.2875m/z,351.2875061,3.17463326
49,558.43_355.32m/z,355.3200301,9.30721664
50,54.06_356.2787m/z,356.2786932,0.900983334
51,558.45_356.3231m/z,356.3231261,9.30749178
52,62.18_358.2944m/z,358.2944109,1.03635001
53,438.81_361.273m/z,361.2730058,7.31343317
54,398.92_361.2732m/z,361.2732159,6.64873314
55,398.86_364.2607m/z,364.260658,6.64769983
56,52.85_368.2787m/z,368.278688,0.880883336
57,52.77_369.2818m/z,369.2818275,0.879524976
58,594.8_369.3511m/z,369.351143,9.9133997
59,613.62_369.3514m/z,369.351371,10.2270164
60,627.35_369.3513m/z,369.351266,10.4558496
61,646.75_369.3518m/z,369.3517629,10.77915
62,279.75_369.3516m/z,369.3515847,4.662441495
63,666.49_369.3509m/z,369.3509339,11.1081662
64,279.75_369.54m/z,369.5400455,4.6624999
65,613.76_369.6483m/z,369.6482555,10.22926665
66,65.69_370.2945m/z,370.2945434,1.09481668
67,279.74_370.3549m/z,370.3548573,4.66236687
68,666.52_370.3539m/z,370.3539295,11.1086502
69,627.19_370.3545m/z,370.3544973,10.4531331
70,646.73_370.3549m/z,370.35488,10.7789164
71,65.49_371.2979m/z,371.2978748,1.09148335
72,627.16_371.3578m/z,371.3577739,10.4526997
73,613.77_371.358m/z,371.3580158,10.22948315
74,646.73_371.3581m/z,371.358142,10.7787833
75,279.74_371.3579m/z,371.3579338,4.66241646
76,78.09_372.3102m/z,372.3101552,1.30151665
77,78.07_373.3131m/z,373.3130878,1.30113328
78,50.27_386.2891m/z,386.2891497,0.837783337
79,59.9_388.3047m/z,388.3046635,0.998258323
80,405.77_390.2761m/z,390.2760861,6.76276684
81,438.6_392.2911m/z,392.2911179,7.309966565
82,71.65_396.3099m/z,396.3099097,1.19421667
83,79.18_397.3093m/z,397.3092714,1.31971669
84,89.23_398.3256m/z,398.3256045,1.487224995
85,89.2_399.3285m/z,399.3285106,1.48671669
86,108.03_400.3417m/z,400.3416852,1.80051672
87,108.03_401.3447m/z,401.3446522,1.80050838
88,594.67_413.265m/z,413.2650239,9.911141395
89,332.07_415.3557m/z,415.3557208,5.53455019
90,332.02_416.3636m/z,416.3636499,5.53373337
91,185.2_416.3637m/z,416.3637091,3.08671665
92,332.05_417.3669m/z,417.36692,5.53419995
93,96.42_424.3416m/z,424.3416305,1.60691667
94,96.42_425.3446m/z,425.3445879,1.60691667
95,117.64_426.3575m/z,426.3575268,1.96060002
96,309.45_427.3561m/z,427.3561057,5.1574502
97,117.63_427.3605m/z,427.3605308,1.9605
98,309.54_428.3633m/z,428.363266,5.158974885
99,201.23_428.3632m/z,428.3631905,3.35391665
100,117.61_428.3631m/z,428.3631466,1.96013331
101,141.08_428.3728m/z,428.372774,2.35131669
102,436.59_428.8244m/z,428.8244082,7.27648354
103,436.54_429.3259m/z,429.3258573,7.27570009
104,284.35_429.3712m/z,429.3712259,4.739108325
105,202.13_429.3698m/z,429.3698012,3.36886668
106,190.26_429.3713m/z,429.3713232,3.17104173
107,298.73_429.3719m/z,429.3718964,4.97875023
108,312.95_429.3719m/z,429.3719038,5.21583319
109,141.07_429.3756m/z,429.3756367,2.35109997
110,312.97_430.3755m/z,430.375546,5.216208215
111,298.71_430.3759m/z,430.3759342,4.97843313
112,190.39_430.3795m/z,430.3795061,3.17315841
113,204.71_430.3792m/z,430.3792167,3.411808375
114,269.57_430.3792m/z,430.3791849,4.49281645
115,292.33_430.3785m/z,430.3784982,4.87220001
116,190.96_431.3828m/z,431.3828469,3.1826334
117,348.61_431.387m/z,431.3869831,5.81022501
118,348.47_432.3904m/z,432.3904066,5.80783319
119,518.29_444.3742m/z,444.3742305,8.63823318
120,490.09_444.3738m/z,444.3737801,8.168108465
121,319.22_445.3664m/z,445.3663533,5.320391895
122,518.32_445.3778m/z,445.377842,8.63866711
123,118.57_454.2921m/z,454.2921491,1.97613335
124,147.81_454.3878m/z,454.3878481,2.46349168
125,51.66_458.3466m/z,458.3466237,0.861025006
126,331.25_460.3325m/z,460.3324717,5.52086687
127,260.77_464.4449m/z,464.4448964,4.34621668
128,83.99_468.3082m/z,468.3081892,1.39991665
129,84.0_469.3112m/z,469.3111863,1.40006661
130,172.75_469.3877m/z,469.38772,2.879225015
131,51.17_473.265m/z,473.2649944,0.852775008
132,304.77_474.4659m/z,474.4658973,5.07956648
133,92.44_476.3122m/z,476.3121808,1.540608285
134,105.3_478.2931m/z,478.293051,1.75506663
135,114.79_478.3291m/z,478.3290959,1.91314995
136,105.3_479.2958m/z,479.2957893,1.755058285
137,114.77_479.3323m/z,479.3322827,1.91286671
138,114.84_480.3346m/z,480.3346052,1.91394997
139,128.67_480.3424m/z,480.3424457,2.14443326
140,128.68_481.3466m/z,481.3465549,2.14466667
141,98.84_482.3235m/z,482.3235024,1.647325035
142,152.27_482.3235m/z,482.3234798,2.53783345
143,128.61_482.3596m/z,482.3596365,2.14345002
144,98.88_483.3267m/z,483.3266574,1.64791667
145,128.54_483.363m/z,483.3629549,2.14226675
146,438.8_484.2818m/z,484.2818472,7.31325006
147,325.97_488.4815m/z,488.4815165,5.43291664
148,269.01_490.461m/z,490.4609692,4.48343325
149,268.99_491.4641m/z,491.4640839,4.48318338
150,304.76_492.4774m/z,492.4774399,5.07933331
151,304.76_493.4806m/z,493.480629,5.07929993
152,92.44_494.3236m/z,494.3235704,1.54065001
153,304.75_494.4832m/z,494.4832059,5.07916665
154,92.43_495.327m/z,495.3269943,1.54054999
155,618.47_495.4398m/z,495.4397919,10.3078165
156,114.82_496.34m/z,496.3400113,1.913625005
157,114.82_497.3432m/z,497.3431849,1.913725015
158,114.9_498.345m/z,498.3450218,1.915008305
159,114.86_499.0359m/z,499.0358885,1.91429162
160,114.86_499.1178m/z,499.1177612,1.91426671
161,114.86_499.1882m/z,499.1881822,1.91429996
162,114.86_499.2556m/z,499.2556106,1.914308305
163,114.85_499.3473m/z,499.3472543,1.91415
164,312.76_500.4817m/z,500.4817257,5.2126832
165,114.86_500.5204m/z,500.5204091,1.91438329
166,114.86_500.5888m/z,500.5888149,1.91435003
167,114.86_500.6646m/z,500.6645764,1.91433334
168,114.86_500.7439m/z,500.743855,1.91436672
169,312.75_501.4848m/z,501.4847531,5.212500095
170,114.86_501.9191m/z,501.9191328,1.91438329
171,114.86_501.9961m/z,501.9961011,1.91425002
172,105.33_502.2935m/z,502.2934955,1.75545001
173,101.84_502.3289m/z,502.3289361,1.69733334
174,105.31_503.2965m/z,503.2965134,1.75524998
175,101.86_503.3321m/z,503.3320747,1.697666645
176,123.81_504.3441m/z,504.3441334,2.063474895
177,123.85_505.3476m/z,505.3476277,2.06424999
178,148.02_506.3603m/z,506.3603123,2.46700001
179,325.85_506.4931m/z,506.4930944,5.43083334
180,148.07_507.3634m/z,507.3634286,2.46784997
181,325.85_507.4962m/z,507.4961695,5.430858375
182,107.84_508.3389m/z,508.3388612,1.79733336
183,148.11_508.3658m/z,508.3657845,2.468566655
184,136.49_508.3757m/z,508.375716,2.27486658
185,162.99_508.3752m/z,508.3752487,2.71644998
186,325.85_508.4985m/z,508.4985489,5.43088341
187,136.5_509.3791m/z,509.3790745,2.27495003
188,131.35_510.3552m/z,510.3551768,2.18914175
189,163.15_510.3908m/z,510.390773,2.71921659
190,131.37_511.3581m/z,511.3581218,2.1895833
191,92.44_512.3339m/z,512.3339094,1.5406667
192,266.24_512.4665m/z,512.4664553,4.437275175
193,266.23_513.4695m/z,513.4695107,4.43709993
194,114.81_518.3216m/z,518.3215523,1.913441655
195,84.21_518.3235m/z,518.3234747,1.403575005
196,318.77_518.4928m/z,518.4928153,5.312858345
197,114.86_519.3247m/z,519.324686,1.91436672
198,602.9_519.4398m/z,519.4398161,10.0483918
199,312.87_519.4961m/z,519.4961383,5.214433435
200,101.89_520.3401m/z,520.3400633,1.69813335
201,312.66_520.499m/z,520.4989951,5.21100831
202,397.15_520.5083m/z,520.5083438,6.61924982
203,101.9_521.3429m/z,521.3429071,1.69838333
204,177.89_521.419m/z,521.4189974,2.964775085
205,124.88_521.4192m/z,521.4192036,2.0813334
206,620.72_521.4559m/z,521.4559167,10.34540845
207,602.7_521.4552m/z,521.4551889,10.0449333
208,102.01_522.3451m/z,522.3450805,1.70015001
209,123.74_522.3557m/z,522.3556701,2.06228328
210,620.69_522.459m/z,522.4589643,10.3448334
211,362.63_522.5242m/z,522.5241979,6.04379988
212,102.02_523.3472m/z,523.3472413,1.70026672
213,123.74_523.3586m/z,523.3585926,2.062391755
214,619.52_523.4702m/z,523.4701638,10.3253837
215,637.37_523.4718m/z,523.4717551,10.622817
216,362.61_523.5271m/z,523.5271139,6.043558355
217,123.85_524.3607m/z,524.3607467,2.06418324
218,148.07_524.3714m/z,524.3713562,2.46775007
219,637.37_524.4749m/z,524.4748562,10.6227999
220,148.08_525.3742m/z,525.3741835,2.46791673
221,101.59_526.309m/z,526.3089743,1.69316667
222,101.81_526.3155m/z,526.3154527,1.69677502
223,96.83_526.325m/z,526.3249551,1.61380005
224,148.1_526.3764m/z,526.376436,2.46838331
225,148.13_527.379m/z,527.3789732,2.46878338
226,359.11_528.5126m/z,528.512577,5.98522496
227,335.44_532.5078m/z,532.5077567,5.590675115
228,114.86_534.2955m/z,534.2955246,1.91425002
229,371.24_534.5239m/z,534.523922,6.187300205
230,114.85_535.2986m/z,535.2985641,1.914241675
231,518.01_535.4287m/z,535.4287457,8.633574965
232,629.95_535.471m/z,535.4709795,10.4990997
233,371.44_535.527m/z,535.5270288,6.190591575
234,490.36_536.4371m/z,536.4370777,8.17266655
235,518.06_536.4373m/z,536.4373155,8.634316445
