,Sample File Name,Sample ID
0,LCMS_data/Sample10,Sample10
1,LCMS_data/Sample9,Sample9
2,LCMS_data/Sample79,Sample79
3,LCMS_data/Sample80,Sample80
4,LCMS_data/Sample23,Sample23
5,LCMS_data/Sample24,Sample24
6,LCMS_data/Sample65,Sample65
7,LCMS_data/Sample66,Sample66
8,LCMS_data/Sample2,Sample2
9,LCMS_data/Sample1,Sample1
11,LCMS_data/Sample98,Sample98
12,LCMS_data/Sample99,Sample99
13,LCMS_data/Sample100,Sample100
14,LCMS_data/Sample101,Sample101
15,LCMS_data/Sample40,Sample40
16,LCMS_data/Sample39,Sample39
17,LCMS_data/Sample118,Sample118
18,LCMS_data/Sample117,Sample117
19,LCMS_data/Sample108,Sample108
21,LCMS_data/Sample45,Sample45
22,LCMS_data/Sample46,Sample46
23,LCMS_data/Sample74,Sample74
24,LCMS_data/Sample73,Sample73
25,LCMS_data/Sample93,Sample93
26,LCMS_data/Sample92,Sample92
27,LCMS_data/Sample76,Sample76
28,LCMS_data/Sample75,Sample75
29,LCMS_data/Sample67,Sample67
30,LCMS_data/Sample68,Sample68
32,LCMS_data/Sample61,Sample61
33,LCMS_data/Sample62,Sample62
34,LCMS_data/Sample91,Sample91
35,LCMS_data/Sample90,Sample90
36,LCMS_data/Sample37,Sample37
37,LCMS_data/Sample38,Sample38
38,LCMS_data/Sample17,Sample17
39,LCMS_data/Sample18,Sample18
40,LCMS_data/Sample19,Sample19
41,LCMS_data/Sample20,Sample20
43,LCMS_data/Sample72,Sample72
44,LCMS_data/Sample71,Sample71
45,LCMS_data/Sample13,Sample13
46,LCMS_data/Sample14,Sample14
47,LCMS_data/Sample59,Sample59
48,LCMS_data/Sample60,Sample60
49,LCMS_data/Sample26,Sample26
50,LCMS_data/Sample25,Sample25
51,LCMS_data/Sample11,Sample11
52,LCMS_data/Sample12,Sample12
54,LCMS_data/Sample113,Sample113
55,LCMS_data/Sample114,Sample114
56,LCMS_data/Sample27,Sample27
57,LCMS_data/Sample28,Sample28
58,LCMS_data/Sample82,Sample82
59,LCMS_data/Sample81,Sample81
60,LCMS_data/Sample88,Sample88
61,LCMS_data/Sample89,Sample89
63,LCMS_data/Sample87,Sample87
64,LCMS_data/Sample86,Sample86
65,LCMS_data/Sample4,Sample4
66,LCMS_data/Sample3,Sample3
67,LCMS_data/Sample41,Sample41
68,LCMS_data/Sample42,Sample42
69,LCMS_data/Sample115,Sample115
70,LCMS_data/Sample116,Sample116
71,LCMS_data/Sample51,Sample51
72,LCMS_data/Sample109,Sample109
74,LCMS_data/Sample110,Sample110
75,LCMS_data/Sample107,Sample107
76,LCMS_data/Sample106,Sample106
77,LCMS_data/Sample130,Sample130
78,LCMS_data/Sample129,Sample129
79,LCMS_data/Sample7,Sample7
80,LCMS_data/Sample8,Sample8
81,LCMS_data/Sample55,Sample55
82,LCMS_data/Sample56,Sample56
83,LCMS_data/Sample83,Sample83
85,LCMS_data/Sample84,Sample84
86,LCMS_data/Sample94,Sample94
87,LCMS_data/Sample95,Sample95
88,LCMS_data/Sample48,Sample48
89,LCMS_data/Sample47,Sample47
90,LCMS_data/Sample21,Sample21
91,LCMS_data/Sample22,Sample22
92,LCMS_data/Sample63,Sample63
93,LCMS_data/Sample64,Sample64
94,LCMS_data/Sample131,Sample131
96,LCMS_data/Sample132,Sample132
97,LCMS_data/Sample54,Sample54
98,LCMS_data/Sample53,Sample53
99,LCMS_data/Sample57,Sample57
100,LCMS_data/Sample58,Sample58
101,LCMS_data/Sample33,Sample33
102,LCMS_data/Sample34,Sample34
103,LCMS_data/Sample50,Sample50
104,LCMS_data/Sample49,Sample49
105,LCMS_data/Sample134,Sample134
107,LCMS_data/Sample133,Sample133
108,LCMS_data/Sample85,Sample85
109,LCMS_data/Sample32,Sample32
110,LCMS_data/Sample31,Sample31
111,LCMS_data/Sample103,Sample103
112,LCMS_data/Sample102,Sample102
113,LCMS_data/Sample120,Sample120
114,LCMS_data/Sample119,Sample119
115,LCMS_data/Sample121,Sample121
117,LCMS_data/Sample122,Sample122
118,LCMS_data/Sample125,Sample125
119,LCMS_data/Sample126,Sample126
120,LCMS_data/Sample36,Sample36
121,LCMS_data/Sample35,Sample35
122,LCMS_data/Sample96,Sample96
123,LCMS_data/Sample97,Sample97
124,LCMS_data/Sample78,Sample78
125,LCMS_data/Sample77,Sample77
126,LCMS_data/Sample43,Sample43
128,LCMS_data/Sample44,Sample44
129,LCMS_data/Sample5,Sample5
130,LCMS_data/Sample6,Sample6
131,LCMS_data/Sample105,Sample105
132,LCMS_data/Sample104,Sample104
133,LCMS_data/Sample16,Sample16
134,LCMS_data/Sample15,Sample15
135,LCMS_data/Sample127,Sample127
136,LCMS_data/Sample128,Sample128
137,LCMS_data/Sample52,Sample52
139,LCMS_data/Sample70,Sample70
140,LCMS_data/Sample69,Sample69
141,LCMS_data/Sample123,Sample123
142,LCMS_data/Sample124,Sample124
143,LCMS_data/Sample29,Sample29
144,LCMS_data/Sample30,Sample30
145,LCMS_data/Sample112,Sample112
146,LCMS_data/Sample111,Sample111
