,ppm,Feature Name
0,10,10
1,9.99779956,9.99779956
2,9.99559912,9.99559912
3,9.99339868,9.99339868
4,9.99119824,9.99119824
5,9.9889978,9.9889978
6,9.986797359,9.986797359
7,9.984596919,9.984596919
8,9.982396479,9.982396479
9,9.980196039,9.980196039
10,9.977995599,9.977995599
11,9.975795159,9.975795159
12,9.973594719,9.973594719
13,9.971394279,9.971394279
14,9.969193839,9.969193839
15,9.966993399,9.966993399
16,9.964792959,9.964792959
17,9.962592519,9.962592519
18,9.960392078,9.960392078
19,9.958191638,9.958191638
20,9.955991198,9.955991198
21,9.953790758,9.953790758
22,9.951590318,9.951590318
23,9.949389878,9.949389878
24,9.947189438,9.947189438
25,9.944988998,9.944988998
26,9.942788558,9.942788558
27,9.940588118,9.940588118
28,9.938387678,9.938387678
29,9.936187237,9.936187237
30,9.933986797,9.933986797
31,9.931786357,9.931786357
32,9.929585917,9.929585917
33,9.927385477,9.927385477
34,9.925185037,9.925185037
35,9.922984597,9.922984597
36,9.920784157,9.920784157
37,9.918583717,9.918583717
38,9.916383277,9.916383277
39,9.914182837,9.914182837
40,9.911982396,9.911982396
41,9.909781956,9.909781956
42,9.907581516,9.907581516
43,9.905381076,9.905381076
44,9.903180636,9.903180636
45,9.900980196,9.900980196
46,9.898779756,9.898779756
47,9.896579316,9.896579316
48,9.894378876,9.894378876
49,9.892178436,9.892178436
50,9.889977996,9.889977996
51,9.887777556,9.887777556
52,9.885577115,9.885577115
53,9.883376675,9.883376675
54,9.881176235,9.881176235
55,9.878975795,9.878975795
56,9.876775355,9.876775355
57,9.874574915,9.874574915
58,9.872374475,9.872374475
59,9.870174035,9.870174035
60,9.867973595,9.867973595
61,9.865773155,9.865773155
62,9.863572715,9.863572715
63,9.861372274,9.861372274
64,9.859171834,9.859171834
65,9.856971394,9.856971394
66,9.854770954,9.854770954
67,9.852570514,9.852570514
68,9.850370074,9.850370074
69,9.848169634,9.848169634
70,9.845969194,9.845969194
71,9.843768754,9.843768754
72,9.841568314,9.841568314
73,9.839367874,9.839367874
74,9.837167433,9.837167433
75,9.834966993,9.834966993
76,9.832766553,9.832766553
77,9.830566113,9.830566113
78,9.828365673,9.828365673
79,9.826165233,9.826165233
80,9.823964793,9.823964793
81,9.821764353,9.821764353
82,9.819563913,9.819563913
83,9.817363473,9.817363473
84,9.815163033,9.815163033
85,9.812962593,9.812962593
86,9.810762152,9.810762152
87,9.808561712,9.808561712
88,9.806361272,9.806361272
89,9.804160832,9.804160832
90,9.801960392,9.801960392
91,9.799759952,9.799759952
92,9.797559512,9.797559512
93,9.795359072,9.795359072
94,9.793158632,9.793158632
95,9.790958192,9.790958192
96,9.788757752,9.788757752
97,9.786557311,9.786557311
98,9.784356871,9.784356871
99,9.782156431,9.782156431
100,9.779955991,9.779955991
101,9.777755551,9.777755551
102,9.775555111,9.775555111
103,9.773354671,9.773354671
104,9.771154231,9.771154231
105,9.768953791,9.768953791
106,9.766753351,9.766753351
107,9.764552911,9.764552911
108,9.76235247,9.76235247
109,9.76015203,9.76015203
110,9.75795159,9.75795159
111,9.75575115,9.75575115
112,9.75355071,9.75355071
113,9.75135027,9.75135027
114,9.74914983,9.74914983
115,9.74694939,9.74694939
116,9.74474895,9.74474895
117,9.74254851,9.74254851
118,9.74034807,9.74034807
119,9.73814763,9.73814763
120,9.735947189,9.735947189
121,9.733746749,9.733746749
122,9.731546309,9.731546309
123,9.729345869,9.729345869
124,9.727145429,9.727145429
125,9.724944989,9.724944989
126,9.722744549,9.722744549
127,9.720544109,9.720544109
