,Sample File Name,Sample ID
0,NMR_data/Sample93,Sample93
1,NMR_data/Sample51,Sample51
2,NMR_data/Sample19,Sample19
3,NMR_data/Sample129,Sample129
4,NMR_data/Sample26,Sample26
5,NMR_data/Sample71,Sample71
6,NMR_data/Sample59,Sample59
7,NMR_data/Sample118,Sample118
8,NMR_data/Sample23,Sample23
9,NMR_data/Sample9,Sample9
10,NMR_data/Sample99,Sample99
11,NMR_data/Sample40,Sample40
12,NMR_data/Sample87,Sample87
13,NMR_data/Sample3,Sample3
14,NMR_data/Sample17,Sample17
15,NMR_data/Sample62,Sample62
16,NMR_data/Sample55,Sample55
17,NMR_data/Sample37,Sample37
18,NMR_data/Sample80,Sample80
19,NMR_data/Sample10,Sample10
20,NMR_data/Sample7,Sample7
21,NMR_data/Sample25,Sample25
22,NMR_data/Sample113,Sample113
23,NMR_data/Sample45,Sample45
24,NMR_data/Sample67,Sample67
25,NMR_data/Sample73,Sample73
26,NMR_data/Sample109,Sample109
27,NMR_data/Sample110,Sample110
28,NMR_data/Sample79,Sample79
29,NMR_data/Sample116,Sample116
30,NMR_data/Sample18,Sample18
31,NMR_data/Sample60,Sample60
32,NMR_data/Sample72,Sample72
33,NMR_data/Sample14,Sample14
34,NMR_data/Sample39,Sample39
35,NMR_data/Sample98,Sample98
36,NMR_data/Sample108,Sample108
37,NMR_data/Sample101,Sample101
38,NMR_data/Sample4,Sample4
39,NMR_data/Sample81,Sample81
40,NMR_data/Sample68,Sample68
41,NMR_data/Sample42,Sample42
42,NMR_data/Sample38,Sample38
43,NMR_data/Sample61,Sample61
44,NMR_data/Sample90,Sample90
45,NMR_data/Sample83,Sample83
46,NMR_data/Sample2,Sample2
47,NMR_data/Sample12,Sample12
48,NMR_data/Sample28,Sample28
49,NMR_data/Sample75,Sample75
50,NMR_data/Sample74,Sample74
51,NMR_data/Sample92,Sample92
52,NMR_data/StudyReference1,StudyReference1
53,NMR_data/Sample106,Sample106
54,NMR_data/Sample66,Sample66
55,NMR_data/Sample20,Sample20
56,NMR_data/Sample13,Sample13
57,NMR_data/Sample1,Sample1
58,NMR_data/Sample117,Sample117
59,NMR_data/Sample100,Sample100
60,NMR_data/Sample88,Sample88
61,NMR_data/Sample115,Sample115
62,NMR_data/Sample86,Sample86
63,NMR_data/Sample41,Sample41
64,NMR_data/Sample65,Sample65
65,NMR_data/StudyReference2,StudyReference2
66,NMR_data/Sample91,Sample91
67,NMR_data/Sample56,Sample56
68,NMR_data/Sample8,Sample8
69,NMR_data/Sample82,Sample82
70,NMR_data/Sample114,Sample114
71,NMR_data/Sample27,Sample27
72,NMR_data/Sample76,Sample76
73,NMR_data/Sample24,Sample24
74,NMR_data/Sample46,Sample46
75,NMR_data/Sample31,Sample31
76,NMR_data/Sample77,Sample77
77,NMR_data/Sample15,Sample15
78,NMR_data/Sample5,Sample5
79,NMR_data/Sample104,Sample104
80,NMR_data/Sample34,Sample34
81,NMR_data/Sample47,Sample47
82,NMR_data/Sample94,Sample94
83,NMR_data/Sample54,Sample54
84,NMR_data/Sample58,Sample58
85,NMR_data/Sample125,Sample125
86,NMR_data/Sample35,Sample35
87,NMR_data/Sample48,Sample48
88,NMR_data/Sample84,Sample84
89,NMR_data/Sample127,Sample127
90,NMR_data/Sample70,Sample70
91,NMR_data/Sample124,Sample124
92,NMR_data/Sample133,Sample133
93,NMR_data/Sample119,Sample119
94,NMR_data/Sample32,Sample32
95,NMR_data/Sample95,Sample95
96,NMR_data/Sample78,Sample78
97,NMR_data/Sample16,Sample16
98,NMR_data/Sample44,Sample44
99,NMR_data/Sample105,Sample105
100,NMR_data/Sample33,Sample33
101,NMR_data/Sample132,Sample132
102,NMR_data/Sample49,Sample49
103,NMR_data/Sample57,Sample57
104,NMR_data/Sample111,Sample111
105,NMR_data/Sample121,Sample121
106,NMR_data/Sample96,Sample96
107,NMR_data/Sample122,Sample122
108,NMR_data/Sample36,Sample36
109,NMR_data/Sample64,Sample64
110,NMR_data/Sample52,Sample52
111,NMR_data/Sample123,Sample123
112,NMR_data/Sample134,Sample134
113,NMR_data/Sample30,Sample30
114,NMR_data/Sample120,Sample120
115,NMR_data/Sample85,Sample85
116,NMR_data/Sample103,Sample103
117,NMR_data/StudyReference3,StudyReference3
118,NMR_data/Sample63,Sample63
119,NMR_data/Sample43,Sample43
120,NMR_data/Sample6,Sample6
121,NMR_data/Sample131,Sample131
122,NMR_data/Sample50,Sample50
123,NMR_data/Sample53,Sample53
124,NMR_data/Sample22,Sample22
125,NMR_data/StudyReference4,StudyReference4
126,NMR_data/Sample126,Sample126
127,NMR_data/Sample128,Sample128
128,NMR_data/Sample112,Sample112
129,NMR_data/Sample69,Sample69
130,NMR_data/Sample29,Sample29
131,NMR_data/Sample102,Sample102
132,NMR_data/Sample21,Sample21
