,Sample File Name,Sample ID
0,NMR_data/Sample87,Sample87
1,NMR_data/Sample3,Sample3
2,NMR_data/Sample90,Sample90
3,NMR_data/Sample17,Sample17
4,NMR_data/Sample66,Sample66
5,NMR_data/Sample62,Sample62
6,NMR_data/Sample55,Sample55
7,NMR_data/Sample7,Sample7
8,NMR_data/Sample25,Sample25
9,NMR_data/Sample28,Sample28
10,NMR_data/Sample113,Sample113
11,NMR_data/Sample92,Sample92
12,NMR_data/Sample45,Sample45
13,NMR_data/Sample67,Sample67
14,NMR_data/Sample65,Sample65
15,NMR_data/Sample73,Sample73
16,NMR_data/Sample109,Sample109
17,NMR_data/Sample110,Sample110
18,NMR_data/Sample116,Sample116
19,NMR_data/Sample18,Sample18
20,NMR_data/Sample60,Sample60
21,NMR_data/Sample72,Sample72
22,NMR_data/Sample14,Sample14
23,NMR_data/Sample39,Sample39
24,NMR_data/Sample98,Sample98
25,NMR_data/Sample108,Sample108
26,NMR_data/Sample24,Sample24
27,NMR_data/Sample101,Sample101
28,NMR_data/Sample4,Sample4
29,NMR_data/Sample68,Sample68
30,NMR_data/Sample38,Sample38
31,NMR_data/Sample61,Sample61
32,NMR_data/Sample8,Sample8
33,NMR_data/Sample83,Sample83
34,NMR_data/Sample23,Sample23
35,NMR_data/Sample12,Sample12
36,NMR_data/Sample75,Sample75
37,NMR_data/Sample74,Sample74
38,NMR_data/Sample51,Sample51
39,NMR_data/Sample129,Sample129
40,NMR_data/StudyReference1,StudyReference1
41,NMR_data/Sample106,Sample106
42,NMR_data/Sample80,Sample80
43,NMR_data/Sample59,Sample59
44,NMR_data/Sample20,Sample20
45,NMR_data/Sample13,Sample13
46,NMR_data/Sample40,Sample40
47,NMR_data/Sample1,Sample1
48,NMR_data/Sample117,Sample117
49,NMR_data/Sample100,Sample100
50,NMR_data/Sample88,Sample88
51,NMR_data/Sample115,Sample115
52,NMR_data/Sample86,Sample86
53,NMR_data/Sample41,Sample41
54,NMR_data/Sample79,Sample79
55,NMR_data/Sample37,Sample37
56,NMR_data/StudyReference2,StudyReference2
57,NMR_data/Sample91,Sample91
58,NMR_data/Sample56,Sample56
59,NMR_data/Sample82,Sample82
60,NMR_data/Sample114,Sample114
61,NMR_data/Sample27,Sample27
62,NMR_data/Sample9,Sample9
63,NMR_data/Sample76,Sample76
64,NMR_data/Sample46,Sample46
65,NMR_data/Sample93,Sample93
66,NMR_data/Sample19,Sample19
67,NMR_data/Sample26,Sample26
68,NMR_data/Sample2,Sample2
69,NMR_data/Sample71,Sample71
70,NMR_data/Sample10,Sample10
71,NMR_data/Sample118,Sample118
72,NMR_data/Sample99,Sample99
73,NMR_data/Sample81,Sample81
74,NMR_data/Sample42,Sample42
75,NMR_data/Sample36,Sample36
76,NMR_data/Sample63,Sample63
77,NMR_data/Sample125,Sample125
78,NMR_data/Sample127,Sample127
79,NMR_data/Sample30,Sample30
80,NMR_data/Sample70,Sample70
81,NMR_data/Sample124,Sample124
82,NMR_data/Sample103,Sample103
83,NMR_data/Sample133,Sample133
84,NMR_data/Sample119,Sample119
85,NMR_data/Sample22,Sample22
86,NMR_data/Sample32,Sample32
87,NMR_data/Sample78,Sample78
88,NMR_data/Sample16,Sample16
89,NMR_data/Sample44,Sample44
90,NMR_data/Sample105,Sample105
91,NMR_data/Sample33,Sample33
92,NMR_data/Sample132,Sample132
93,NMR_data/Sample49,Sample49
94,NMR_data/Sample21,Sample21
95,NMR_data/Sample57,Sample57
96,NMR_data/Sample121,Sample121
97,NMR_data/Sample96,Sample96
98,NMR_data/Sample122,Sample122
99,NMR_data/Sample47,Sample47
100,NMR_data/Sample52,Sample52
101,NMR_data/Sample123,Sample123
102,NMR_data/Sample134,Sample134
103,NMR_data/Sample120,Sample120
104,NMR_data/Sample85,Sample85
105,NMR_data/StudyReference3,StudyReference3
106,NMR_data/Sample48,Sample48
107,NMR_data/Sample104,Sample104
108,NMR_data/Sample43,Sample43
109,NMR_data/Sample6,Sample6
110,NMR_data/Sample58,Sample58
111,NMR_data/Sample131,Sample131
112,NMR_data/Sample50,Sample50
113,NMR_data/Sample53,Sample53
114,NMR_data/Sample95,Sample95
115,NMR_data/Sample35,Sample35
116,NMR_data/StudyReference4,StudyReference4
117,NMR_data/Sample126,Sample126
118,NMR_data/Sample128,Sample128
119,NMR_data/Sample112,Sample112
120,NMR_data/Sample69,Sample69
121,NMR_data/Sample29,Sample29
122,NMR_data/Sample94,Sample94
123,NMR_data/Sample102,Sample102
124,NMR_data/Sample31,Sample31
125,NMR_data/Sample77,Sample77
126,NMR_data/Sample15,Sample15
127,NMR_data/Sample64,Sample64
128,NMR_data/Sample5,Sample5
129,NMR_data/Sample84,Sample84
130,NMR_data/Sample34,Sample34
131,NMR_data/Sample54,Sample54
132,NMR_data/Sample111,Sample111
